,quartervalue,avgkw
0,7/4/2018 7:15,177.44556
1,7/4/2018 7:30,179.26265
2,7/4/2018 7:45,178.89557
3,7/4/2018 8:00,178.63673
4,7/4/2018 8:15,179.17522
5,7/4/2018 8:30,180.38805
6,7/4/2018 8:45,175.60509
7,7/4/2018 9:00,176.96921
8,7/4/2018 9:15,178.14848
9,7/4/2018 9:30,177.51033
10,7/4/2018 9:45,177.52278
11,7/4/2018 10:00,177.12128
12,7/4/2018 10:15,176.20264
13,7/4/2018 10:30,176.35211
14,7/4/2018 10:45,175.87805
15,7/4/2018 11:00,176.26997
16,7/4/2018 11:15,175.09883
17,7/4/2018 11:30,177.52122
18,7/4/2018 11:45,176.6917
19,7/4/2018 12:00,179.43561
20,7/4/2018 12:15,179.72466
21,7/4/2018 12:30,179.91306
22,7/4/2018 12:45,176.29005
23,7/4/2018 13:00,176.79156
24,7/4/2018 13:15,176.44357
25,7/4/2018 13:30,175.74069
26,7/4/2018 13:45,174.81393
27,7/4/2018 14:00,174.87733
28,7/4/2018 14:15,174.53842
29,7/4/2018 14:30,174.63257
30,7/4/2018 14:45,177.17041
31,7/4/2018 15:00,176.71886
32,7/4/2018 15:15,174.84169
33,7/4/2018 15:30,176.19403
34,7/4/2018 15:45,176.12871
35,7/4/2018 16:00,175.60548
36,7/4/2018 16:15,174.68394
37,7/4/2018 16:30,175.2838
38,7/4/2018 16:45,174.56154
39,7/4/2018 17:00,175.03473
40,7/4/2018 17:15,176.20331
41,7/4/2018 17:30,176.88446
42,7/4/2018 17:45,175.01749
43,7/4/2018 18:00,175.63113
44,7/4/2018 18:15,176.13219
45,7/4/2018 18:30,175.80836
46,7/4/2018 18:45,174.71811
47,7/4/2018 19:00,173.84213
48,7/4/2018 19:15,174.07942
49,7/4/2018 19:30,176.15305
50,7/4/2018 19:45,177.08603
51,7/4/2018 20:00,176.22453
52,7/4/2018 20:15,175.98514
53,7/4/2018 20:30,175.4762
54,7/4/2018 20:45,176.83336
55,7/4/2018 21:00,175.63777
56,7/4/2018 21:15,175.31236
57,7/4/2018 21:30,176.79663
58,7/4/2018 21:45,176.65642
59,7/4/2018 22:00,176.05276
60,7/4/2018 22:15,176.21916
61,7/4/2018 22:30,173.89514
62,7/4/2018 22:45,173.97148
63,7/4/2018 23:00,174.28163
64,7/4/2018 23:15,174.4243
65,7/4/2018 23:30,175.26291
66,7/4/2018 23:45,174.88594
67,7/5/2018 0:00,173.71524
68,7/5/2018 0:15,173.87863
69,7/5/2018 0:30,174.01743
70,7/5/2018 0:45,174.74689
71,7/5/2018 1:00,174.36166
72,7/5/2018 1:15,174.54422
73,7/5/2018 1:30,179.23184
74,7/5/2018 1:45,176.63022
75,7/5/2018 2:00,173.91759
76,7/5/2018 2:15,174.60197
77,7/5/2018 2:30,172.24138
78,7/5/2018 2:45,169.47534
79,7/5/2018 3:00,172.96684
80,7/5/2018 3:15,176.48103
81,7/5/2018 3:30,181.83398
82,7/5/2018 3:45,178.71216
83,7/5/2018 4:00,179.19077
84,7/5/2018 4:15,178.9891
85,7/5/2018 4:30,179.63571
86,7/5/2018 4:45,177.59953
87,7/5/2018 5:00,176.70236
88,7/5/2018 5:15,173.32346
89,7/5/2018 5:30,177.0162
90,7/5/2018 5:45,175.42111
91,7/5/2018 6:00,175.35815
92,7/5/2018 6:15,174.54193
93,7/5/2018 6:30,174.02094
94,7/5/2018 6:45,174.06145
95,7/5/2018 7:00,174.12483
96,8/13/2018 7:00,153.9158
97,8/13/2018 7:15,157.04626
98,8/13/2018 7:30,155.78098
99,8/13/2018 7:45,155.48438
100,8/13/2018 8:00,156.86502
101,8/13/2018 8:15,156.63531
102,8/13/2018 8:30,156.94986
103,8/13/2018 8:45,155.57495
104,8/13/2018 10:15,155.34608
105,8/13/2018 10:30,154.08679
106,8/13/2018 10:45,153.01433
107,8/13/2018 11:00,151.62413
108,8/13/2018 11:15,159.8426
109,8/13/2018 11:30,159.842
110,8/13/2018 11:45,156.78542
111,8/13/2018 12:00,153.8976
112,8/13/2018 12:15,156.02515
113,8/13/2018 12:30,156.05916
114,8/13/2018 12:45,156.06046
115,8/13/2018 13:00,156.01248
116,8/13/2018 13:15,154.4363
117,8/13/2018 13:30,154.63768
118,8/13/2018 13:45,155.13354
119,8/13/2018 14:00,152.7024
120,8/13/2018 14:15,152.66873
121,8/13/2018 14:30,154.26073
122,8/13/2018 14:45,153.87535
123,8/13/2018 15:00,152.18434
124,8/13/2018 15:15,153.13556
125,8/13/2018 15:30,156.0637
126,8/13/2018 15:45,155.63225
127,8/13/2018 16:00,155.1519
128,8/13/2018 16:15,157.07837
129,8/13/2018 16:30,157.29575
130,8/13/2018 16:45,157.19801
131,8/13/2018 17:00,154.55809
132,8/13/2018 17:15,156.2096
133,8/13/2018 17:30,156.19963
134,8/13/2018 17:45,157.13487
135,8/13/2018 18:00,157.32492
136,8/13/2018 18:15,157.1325
137,8/13/2018 18:30,157.28053
138,8/13/2018 18:45,155.09482
139,8/13/2018 19:00,156.61461
140,8/13/2018 19:15,159.36218
141,8/13/2018 19:30,157.63438
142,8/13/2018 19:45,155.63077
143,8/13/2018 20:00,157.85277
144,8/13/2018 20:15,156.64711
145,8/13/2018 20:30,158.2053
146,8/13/2018 20:45,155.56635
147,8/13/2018 21:00,154.91188
148,8/13/2018 21:15,152.51129
149,8/13/2018 21:30,156.55579
150,8/13/2018 21:45,158.22513
151,8/13/2018 22:00,159.6777
152,8/13/2018 22:15,156.5863
153,8/13/2018 22:30,156.3436
154,8/13/2018 22:45,155.7371
155,8/13/2018 23:00,158.19772
156,8/13/2018 23:15,158.42258
157,8/13/2018 23:30,157.40077
158,8/13/2018 23:45,156.3929
159,8/14/2018 0:00,157.42662
160,8/14/2018 0:15,154.0069
161,8/14/2018 0:30,157.85236
162,8/14/2018 0:45,156.1708
163,8/14/2018 1:00,155.62929
164,8/14/2018 1:15,160.43672
165,8/14/2018 1:30,160.47191
166,8/14/2018 1:45,158.01509
167,8/14/2018 2:00,156.72937
168,8/14/2018 2:15,157.55374
169,8/14/2018 2:30,156.82693
170,8/14/2018 2:45,157.52892
171,8/14/2018 3:00,159.10616
172,8/14/2018 3:15,159.66812
173,8/14/2018 3:30,159.50943
174,8/14/2018 3:45,158.72507
175,8/14/2018 4:00,160.75154
176,8/14/2018 4:15,162.35289
177,8/14/2018 4:30,156.32507
