Avgkw,Date
23140,2018-06-01 00:00
22772,2018-06-01 01:00
22548,2018-06-01 02:00
22663,2018-06-01 03:00
22601,2018-06-01 04:00
22488,2018-06-01 05:00
22766,2018-06-01 06:00
22789,2018-06-01 07:00
22484,2018-06-01 08:00
22877,2018-06-01 09:00
23116,2018-06-01 10:00
22966,2018-06-01 11:00
22850,2018-06-01 12:00
22953,2018-06-01 13:00
23008,2018-06-01 14:00
22855,2018-06-01 15:00
22868,2018-06-01 16:00
22824,2018-06-01 17:00
22882,2018-06-01 18:00
22752,2018-06-01 19:00
22982,2018-06-01 20:00
22846,2018-06-01 21:00
23033,2018-06-01 22:00
23056,2018-06-01 23:00
22948,2018-06-02 00:00
22791,2018-06-02 01:00
22721,2018-06-02 02:00
22505,2018-06-02 03:00
22629,2018-06-02 04:00
22666,2018-06-02 05:00
22612,2018-06-02 06:00
22737,2018-06-02 07:00
22667,2018-06-02 08:00
22746,2018-06-02 09:00
22813,2018-06-02 10:00
23063,2018-06-02 11:00
22803,2018-06-02 12:00
22715,2018-06-02 13:00
23088,2018-06-02 14:00
22855,2018-06-02 15:00
22977,2018-06-02 16:00
22892,2018-06-02 17:00
22705,2018-06-02 18:00
22718,2018-06-02 19:00
22597,2018-06-02 20:00
22868,2018-06-02 21:00
23117,2018-06-02 22:00
23079,2018-06-02 23:00
22942,2018-06-03 00:00
23040,2018-06-03 01:00
22704,2018-06-03 02:00
22600,2018-06-03 03:00
22713,2018-06-03 04:00
22573,2018-06-03 05:00
22677,2018-06-03 06:00
22625,2018-06-03 07:00
22868,2018-06-03 08:00
22889,2018-06-03 09:00
22890,2018-06-03 10:00
23088,2018-06-03 11:00
22444,2018-06-03 12:00
23434,2018-06-03 13:00
23029,2018-06-03 14:00
22851,2018-06-03 15:00
22919,2018-06-03 16:00
22986,2018-06-03 17:00
22810,2018-06-03 18:00
22860,2018-06-03 19:00
22937,2018-06-03 20:00
22823,2018-06-03 21:00
22990,2018-06-03 22:00
23094,2018-06-03 23:00
22850,2018-06-04 00:00
22754,2018-06-04 01:00
22669,2018-06-04 02:00
22528,2018-06-04 03:00
22456,2018-06-04 04:00
22615,2018-06-04 05:00
22632,2018-06-04 06:00
22761,2018-06-04 07:00
22649,2018-06-04 08:00
22870,2018-06-04 09:00
23013,2018-06-04 10:00
22830,2018-06-04 11:00
22835,2018-06-04 12:00
22839,2018-06-04 13:00
22962,2018-06-04 14:00
22875,2018-06-04 15:00
23032,2018-06-04 16:00
23121,2018-06-04 17:00
23044,2018-06-04 18:00
22697,2018-06-04 19:00
22507,2018-06-04 20:00
22999,2018-06-04 21:00
23276,2018-06-04 22:00
23335,2018-06-04 23:00
23048,2018-06-05 00:00
23223,2018-06-05 01:00
22567,2018-06-05 02:00
22766,2018-06-05 03:00
22534,2018-06-05 04:00
22779,2018-06-05 05:00
22694,2018-06-05 06:00
22862,2018-06-05 07:00
22884,2018-06-05 08:00
22908,2018-06-05 09:00
22903,2018-06-05 10:00
23127,2018-06-05 11:00
23095,2018-06-05 12:00
22960,2018-06-05 13:00
22952,2018-06-05 14:00
23175,2018-06-05 15:00
23182,2018-06-05 16:00
23166,2018-06-05 17:00
23017,2018-06-05 18:00
22989,2018-06-05 19:00
22740,2018-06-05 20:00
23077,2018-06-05 21:00
23338,2018-06-05 22:00
23414,2018-06-05 23:00
23207,2018-06-06 00:00
23174,2018-06-06 01:00
23026,2018-06-06 02:00
22834,2018-06-06 03:00
22712,2018-06-06 04:00
22905,2018-06-06 05:00
22753,2018-06-06 06:00
23000,2018-06-06 07:00
22937,2018-06-06 08:00
22994,2018-06-06 09:00
23179,2018-06-06 10:00
23184,2018-06-06 11:00
23049,2018-06-06 12:00
22975,2018-06-06 13:00
23148,2018-06-06 14:00
23332,2018-06-06 15:00
23136,2018-06-06 16:00
22942,2018-06-06 17:00
22924,2018-06-06 18:00
22799,2018-06-06 19:00
22707,2018-06-06 20:00
22931,2018-06-06 21:00
23027,2018-06-06 22:00
23240,2018-06-06 23:00
23111,2018-06-07 00:00
23050,2018-06-07 01:00
22710,2018-06-07 02:00
22629,2018-06-07 03:00
22601,2018-06-07 04:00
22828,2018-06-07 05:00
22769,2018-06-07 06:00
22917,2018-06-07 07:00
22937,2018-06-07 08:00
22788,2018-06-07 09:00
22970,2018-06-07 10:00
22998,2018-06-07 11:00
22721,2018-06-07 12:00
22979,2018-06-07 13:00
23056,2018-06-07 14:00
23182,2018-06-07 15:00
22996,2018-06-07 16:00
23100,2018-06-07 17:00
22939,2018-06-07 18:00
22782,2018-06-07 19:00
22638,2018-06-07 20:00
22902,2018-06-07 21:00
23082,2018-06-07 22:00
23082,2018-06-07 23:00
22981,2018-06-08 00:00
22746,2018-06-08 01:00
22464,2018-06-08 02:00
22719,2018-06-08 03:00
22417,2018-06-08 04:00
22592,2018-06-08 05:00
22549,2018-06-08 06:00
22657,2018-06-08 07:00
22682,2018-06-08 08:00
22826,2018-06-08 09:00
23001,2018-06-08 10:00
22880,2018-06-08 11:00
22823,2018-06-08 12:00
22729,2018-06-08 13:00
22745,2018-06-08 14:00
22875,2018-06-08 15:00
22827,2018-06-08 16:00
22746,2018-06-08 17:00
22863,2018-06-08 18:00
22837,2018-06-08 19:00
22605,2018-06-08 20:00
22931,2018-06-08 21:00
22925,2018-06-08 22:00
22960,2018-06-08 23:00
22960,2018-06-09 00:00
22960,2018-06-09 01:00
22455,2018-06-09 02:00
22671,2018-06-09 03:00
22615,2018-06-09 04:00
22497,2018-06-09 05:00
22498,2018-06-09 06:00
22556,2018-06-09 07:00
22522,2018-06-09 08:00
22779,2018-06-09 09:00
22789,2018-06-09 10:00
22816,2018-06-09 11:00
22563,2018-06-09 12:00
22645,2018-06-09 13:00
22732,2018-06-09 14:00
22828,2018-06-09 15:00
22699,2018-06-09 16:00
22730,2018-06-09 17:00
22611,2018-06-09 18:00
22607,2018-06-09 19:00
22417,2018-06-09 20:00
22648,2018-06-09 21:00
22868,2018-06-09 22:00
