avgkw,date
23140,6/1/2018 0:00
22772,6/1/2018 1:00
22548,6/1/2018 2:00
22663,6/1/2018 3:00
22601,6/1/2018 4:00
22488,6/1/2018 5:00
22766,6/1/2018 6:00
22789,6/1/2018 7:00
22484,6/1/2018 8:00
22877,6/1/2018 9:00
23116,6/1/2018 10:00
22966,6/1/2018 11:00
22850,6/1/2018 12:00
22953,6/1/2018 13:00
23008,6/1/2018 14:00
22855,6/1/2018 15:00
22868,6/1/2018 16:00
22824,6/1/2018 17:00
22882,6/1/2018 18:00
22752,6/1/2018 19:00
22982,6/1/2018 20:00
22846,6/1/2018 21:00
23033,6/1/2018 22:00
23056,6/1/2018 23:00
22948,6/2/2018 0:00
22791,6/2/2018 1:00
22721,6/2/2018 2:00
22505,6/2/2018 3:00
22629,6/2/2018 4:00
22666,6/2/2018 5:00
22612,6/2/2018 6:00
22737,6/2/2018 7:00
22667,6/2/2018 8:00
22746,6/2/2018 9:00
22813,6/2/2018 10:00
23063,6/2/2018 11:00
22803,6/2/2018 12:00
22715,6/2/2018 13:00
23088,6/2/2018 14:00
22855,6/2/2018 15:00
22977,6/2/2018 16:00
22892,6/2/2018 17:00
22705,6/2/2018 18:00
22718,6/2/2018 19:00
22597,6/2/2018 20:00
22868,6/2/2018 21:00
23117,6/2/2018 22:00
23079,6/2/2018 23:00
22942,6/3/2018 0:00
23040,6/3/2018 1:00
22704,6/3/2018 2:00
22600,6/3/2018 3:00
22713,6/3/2018 4:00
22573,6/3/2018 5:00
22677,6/3/2018 6:00
22625,6/3/2018 7:00
22868,6/3/2018 8:00
22889,6/3/2018 9:00
22890,6/3/2018 10:00
23088,6/3/2018 11:00
22444,6/3/2018 12:00
23434,6/3/2018 13:00
23029,6/3/2018 14:00
22851,6/3/2018 15:00
22919,6/3/2018 16:00
22986,6/3/2018 17:00
22810,6/3/2018 18:00
22860,6/3/2018 19:00
22937,6/3/2018 20:00
22823,6/3/2018 21:00
22990,6/3/2018 22:00
23094,6/3/2018 23:00
22850,6/4/2018 0:00
22754,6/4/2018 1:00
22669,6/4/2018 2:00
22528,6/4/2018 3:00
22456,6/4/2018 4:00
22615,6/4/2018 5:00
22632,6/4/2018 6:00
22761,6/4/2018 7:00
22649,6/4/2018 8:00
22870,6/4/2018 9:00
23013,6/4/2018 10:00
22830,6/4/2018 11:00
22835,6/4/2018 12:00
22839,6/4/2018 13:00
22962,6/4/2018 14:00
22875,6/4/2018 15:00
23032,6/4/2018 16:00
23121,6/4/2018 17:00
23044,6/4/2018 18:00
22697,6/4/2018 19:00
22507,6/4/2018 20:00
22999,6/4/2018 21:00
23276,6/4/2018 22:00
23335,6/4/2018 23:00
23048,6/5/2018 0:00
23223,6/5/2018 1:00
22567,6/5/2018 2:00
22766,6/5/2018 3:00
22534,6/5/2018 4:00
22779,6/5/2018 5:00
22694,6/5/2018 6:00
22862,6/5/2018 7:00
22884,6/5/2018 8:00
22908,6/5/2018 9:00
22903,6/5/2018 10:00
23127,6/5/2018 11:00
23095,6/5/2018 12:00
22960,6/5/2018 13:00
22952,6/5/2018 14:00
23175,6/5/2018 15:00
23182,6/5/2018 16:00
23166,6/5/2018 17:00
23017,6/5/2018 18:00
22989,6/5/2018 19:00
22740,6/5/2018 20:00
23077,6/5/2018 21:00
23338,6/5/2018 22:00
23414,6/5/2018 23:00
23207,6/6/2018 0:00
23174,6/6/2018 1:00
23026,6/6/2018 2:00
22834,6/6/2018 3:00
22712,6/6/2018 4:00
22905,6/6/2018 5:00
22753,6/6/2018 6:00
23000,6/6/2018 7:00
22937,6/6/2018 8:00
22994,6/6/2018 9:00
23179,6/6/2018 10:00
23184,6/6/2018 11:00
23049,6/6/2018 12:00
22975,6/6/2018 13:00
23148,6/6/2018 14:00
23332,6/6/2018 15:00
23136,6/6/2018 16:00
22942,6/6/2018 17:00
22924,6/6/2018 18:00
22799,6/6/2018 19:00
22707,6/6/2018 20:00
22931,6/6/2018 21:00
23027,6/6/2018 22:00
23240,6/6/2018 23:00
23111,6/7/2018 0:00
23050,6/7/2018 1:00
22710,6/7/2018 2:00
22629,6/7/2018 3:00
22601,6/7/2018 4:00
22828,6/7/2018 5:00
22769,6/7/2018 6:00
22917,6/7/2018 7:00
22937,6/7/2018 8:00
22788,6/7/2018 9:00
22970,6/7/2018 10:00
22998,6/7/2018 11:00
22721,6/7/2018 12:00
22979,6/7/2018 13:00
23056,6/7/2018 14:00
23182,6/7/2018 15:00
22996,6/7/2018 16:00
23100,6/7/2018 17:00
22939,6/7/2018 18:00
22782,6/7/2018 19:00
22638,6/7/2018 20:00
22902,6/7/2018 21:00
23082,6/7/2018 22:00
23082,6/7/2018 23:00
22981,6/8/2018 0:00
22746,6/8/2018 1:00
22464,6/8/2018 2:00
22719,6/8/2018 3:00
22417,6/8/2018 4:00
22592,6/8/2018 5:00
22549,6/8/2018 6:00
22657,6/8/2018 7:00
22682,6/8/2018 8:00
22826,6/8/2018 9:00
23001,6/8/2018 10:00
22880,6/8/2018 11:00
22823,6/8/2018 12:00
22729,6/8/2018 13:00
22745,6/8/2018 14:00
22875,6/8/2018 15:00
22827,6/8/2018 16:00
22746,6/8/2018 17:00
22863,6/8/2018 18:00
22837,6/8/2018 19:00
22605,6/8/2018 20:00
22931,6/8/2018 21:00
22925,6/8/2018 22:00
22960,6/8/2018 23:00
22960,6/9/2018 0:00
22960,6/9/2018 1:00
22455,6/9/2018 2:00
22671,6/9/2018 3:00
22615,6/9/2018 4:00
22497,6/9/2018 5:00
22498,6/9/2018 6:00
22556,6/9/2018 7:00
22522,6/9/2018 8:00
22779,6/9/2018 9:00
22789,6/9/2018 10:00
22816,6/9/2018 11:00
